District,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
Okara,Okara-V,NA-147,Mr Zareen Akhtar Qadri,National People Party Worker Group,2199,129389,5228,134617,266142,50.58
Okara,Okara-V,NA-147,Mr Saleem Yar Khan,Independent,1751,129389,5228,134617,266142,50.58
Okara,Okara-V,NA-147,Farzana Saeed Wattoo,Independent,665,129389,5228,134617,266142,50.58
Okara,Okara-V,NA-147,Mian Jahangir Ahmad Mahar Advocate,Pakistan Peoples Party Parliamentarians,1529,129389,5228,134617,266142,50.58
Okara,Okara-V,NA-147,Mian Muhammad Javid Yasin Wattoo,Pakistan Muslim League(N),594,129389,5228,134617,266142,50.58
Okara,Okara-V,NA-147,Mian Muhammad Moain Khan Wattoo Advocate,Pakistan Muslim League(QA),50040,129389,5228,134617,266142,50.58
Multan,Multan-I,NA-148,Makhdoom Syed Ghulam Yazdani Gillani,National Alliance,4154,125248,1767,127015,284014,44.72
Multan,Multan-I,NA-148,Makhdoom Shah Mahmood Qureshi,Pakistan Peoples Party Parliamentarians,76606,125248,1767,127015,284014,44.72
Multan,Multan-I,NA-148,Makhdoom Muhammad Javed Hashmi,Pakistan Muslim League(N),44095,125248,1767,127015,284014,44.72
Multan,Multan-II,NA-149,Hafiz Muhammad Iqbal Khan Khakwani,Pakistan Muslim League(N),18763,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Dr Syed Saqlain Ahmad Gillani,Independent,105,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Rana Muhammad Arif,Muttahida Qaumi Moement,434,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Sheikh Khizar Hayat,Muttahidda Majlis-e-Amal Pakistan,19867,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Mr Muhammad Ibrahim Khan,Independent,98,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Mr Muhammad Khalid Khan Khakwani,Pakistan Muslim League(QA),16276,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Malik Liaquat Ali Dogar,Pakistan Peoples Party Parliamentarians,31085,87083,1168,88251,316900,27.85
Multan,Multan-II,NA-149,Mr Mumtaz Hussain Jai Advocate,Saraiki Sooba Movement Pakistan,348,87083,1168,88251,316900,27.85
Multan,Multan-III,NA-150,Professor Muhammad Yaqoob Rizvi,Muttahidda Majlis-e-Amal Pakistan,4837,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Rana Mehmood ul Hassan,Pakistan Muslim League(N),22387,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Mr Razi ud Din,Muttahida Qaumi Moement,113,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Syed Tanveer ul Hassan Gilani,Pakistan Muslim League(QA),17636,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Syed Hamid Saeed Kazmi,Nazim-e-Mistafa,11728,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Mr Shahid Masood Manzar Bhatti Advocate,Awami Qiadat Party,42,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Mr Abbas Ali Ansari,National Alliance,4215,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Malik Mukhtar Ahmad Awan,Pakistan Peoples Party Parliamentarians,15548,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Major ® Muhammad Iqbal Chugtai,Pakistan Awami Tehreek,444,77608,1585,79193,287894,27.51
Multan,Multan-III,NA-150,Nawab Ahmad Shah,Independent,78,77608,1585,79193,287894,27.51
Multan,Multan-IV,NA-151,Mr Sikandar Hayat Khan Bosan,Pakistan Muslim League(QA),47368,107307,1917,109224,272267,40.12
Multan,Multan-IV,NA-151,Syed Ahmad Mujtaba Gillani,Pakistan Peoples Party Parliamentarians,44039,107307,1917,109224,272267,40.12
Multan,Multan-IV,NA-151,Mr Muhammad Ibrahim Khan,Independent,179,107307,1917,109224,272267,40.12
Multan,Multan-IV,NA-151,Mr Muhammad Latif Unsar Sial Lajpal,Pakistan Tehreek-e-Insaf,762,107307,1917,109224,272267,40.12
Multan,Multan-IV,NA-151,Maulana Muhammad Anees Roohani,Muttahidda Majlis-e-Amal Pakistan,1416,107307,1917,109224,272267,40.12
Multan,Multan-IV,NA-151,Maulvi Muhammad Sultan Alam Ansari,Pakistan Muslim League(N),13296,107307,1917,109224,272267,40.12
Multan,Multan-V,NA-152,Syed Javed Ali Shah,Pakistan Muslim League(N),36870,116710,2143,118853,279550,42.52
Multan,Multan-V,NA-152,Mr Muhammad Iqbal Azhari,Muttahidda Majlis-e-Amal Pakistan,5478,116710,2143,118853,279550,42.52
Multan,Multan-V,NA-152,Nawab Liaquat Ali Khan,Pakistan Muslim League(QA),36335,116710,2143,118853,279550,42.52
Multan,Multan-VI,NA-153,Mr Deewan Jaffer Hussain Bukhari,Pakistan Muslim League(N),57209,139293,2823,142116,301449,47.14
Multan,Multan-VI,NA-153,Rana Muhammad Qasim Noon,Pakistan Muslim League(QA),55395,139293,2823,142116,301449,47.14
Multan,Multan-VI,NA-153,Mr Siddique Ahmed,Pakistan Tehreek-e-Insaf,844,139293,2823,142116,301449,47.14
Multan,Multan-VI,NA-153,Nawab Muhammad Iqbal Khan,Muttahidda Majlis-e-Amal Pakistan,1285,139293,2823,142116,301449,47.14
Lodhran,Lodhran-I,NA-154,Dr Mian Abdul Salam Arian,Independent,428,173115,3687,176802,325493,54.32
Lodhran,Lodhran-I,NA-154,Mirza Muhammad Nasir Baig,Pakistan Peoples Party Parliamentarians,76939,173115,3687,176802,325493,54.32
Lodhran,Lodhran-I,NA-154,Mr Muhammad Hashim Sarwar Tarrar Advocate,Pakistan Tehreek-e-Insaf,979,173115,3687,176802,325493,54.32
Lodhran,Lodhran-I,NA-154,Nawab Aman Ullah Khan,Pakistan Muslim League(QA),94651,173115,3687,176802,325493,54.32
Lodhran,Lodhran-II,NA-155,Rana Rab Nawaz Noon,Pakistan Peoples Party Parliamentarians,61661,173468,3532,177000,328640,53.86
Lodhran,Lodhran-II,NA-155,Rana Muhammad Ajmal Noon,Pakistan Muslim League(N),5877,173468,3532,177000,328640,53.86
Lodhran,Lodhran-II,NA-155,Mr Muhammad Akhtar Khan Kanju,Pakistan Muslim League(QA),103209,173468,3532,177000,328640,53.86
Lodhran,Lodhran-II,NA-155,Makhdoom Syed Akbar Ali Rizvi,Independent,399,173468,3532,177000,328640,53.86
Khanewal,Khanewal-I,NA-156,Syed Fakhar Imam Shah,Pakistan Muslim League(QA),59637,150940,3048,153988,291062,52.91
Khanewal,Khanewal-I,NA-156,Mr Muhammad Raza Hayat Hiraj,Pakistan Peoples Party Parliamentarians,86438,150940,3048,153988,291062,52.91
Khanewal,Khanewal-I,NA-156,Maulana Iftikhar Ahmed Haqani,Muttahidda Majlis-e-Amal Pakistan,1595,150940,3048,153988,291062,52.91
Khanewal,Khanewal-I,NA-156,Mehr Muhammad Afzal,Independent,1951,150940,3048,153988,291062,52.91
Khanewal,Khanewal-II,NA-157,Mr Razwan Ahmed khan Daha,Pakistan Muslim League(N),52517,139994,2584,142578,303984,46.9
Khanewal,Khanewal-II,NA-157,Mr Sahibzada Muhammad Aziz-ur-Rehman Hamdi,Muttahidda Majlis-e-Amal Pakistan,12572,139994,2584,142578,303984,46.9
Khanewal,Khanewal-III,NA-158,Syed Fakhar Imam Shah,Pakistan Muslim League(QA),56462,150064,3184,153248,290329,52.78
Khanewal,Khanewal-III,NA-158,Mr Farhat Ullah Khan,Pakistan Muslim League(N),18094,150064,3184,153248,290329,52.78
Khanewal,Khanewal-III,NA-158,Mr Muhammad Shabir Mirza,Independent,489,150064,3184,153248,290329,52.78
Khanewal,Khanewal-III,NA-158,Mehr Allah Bakhsh Hiraj Advocate,Pakistan Awami Tehreek,1437,150064,3184,153248,290329,52.78
Khanewal,Khanewal-III,NA-158,Mr Haibat Khan Pahor,Independent,101,150064,3184,153248,290329,52.78
Khanewal,Khanewal-IV,NA-159,Ch Iftikhar Nazir,Pakistan Peoples Party Parliamentarians,74209,160150,2602,162752,297622,54.68
Khanewal,Khanewal-IV,NA-159,Ch Abid Rizwan Shaukat,Independent,2972,160150,2602,162752,297622,54.68
Khanewal,Khanewal-IV,NA-159,Ch Muhammad Nasar Ullah,Independent,132,160150,2602,162752,297622,54.68
Khanewal,Khanewal-IV,NA-159,Malik Ghulam Murtaza Maitla,Pakistan Muslim League(QA),80688,160150,2602,162752,297622,54.68
Sahiwal,Sahiwal-I,NA-160,Mr Tauqeer Zeshan Khan,Independent,758,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Ch Noraiz Shakoor Khan,Pakistan Peoples Party Parliamentarians,53174,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Syed Imran Ahmad,Pakistan Muslim League(N),43241,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Mr Shahzad Akram,Independent,126,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Mr Tallat Hanif Butt,Independent,122,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Mr Abdul Majeed Javed,Independent,298,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Mr Muhammad Masood Zafar Dogar,Pakistan Awami Tehreek,768,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-I,NA-160,Mr Mudassar Habib,Independent,543,110701,2819,113520,263042,43.16
Sahiwal,Sahiwal-II,NA-161,Ch Muhammad Ashraf,Pakistan Muslim League(QA),38207,122960,4701,127661,270851,47.13
Sahiwal,Sahiwal-II,NA-161,Rana Tariq Javed,Pakistan Shia Political Party,42855,122960,4701,127661,270851,47.13
Sahiwal,Sahiwal-II,NA-161,Mehr Ghualm Farid Kathia,Pakistan Peoples Party Parliamentarians,33016,122960,4701,127661,270851,47.13
Sahiwal,Sahiwal-III,NA-162,Ch Muhammad Iqbal Kung Advocate,Pakistan Muslim League(N),2858,128576,3003,131579,270096,48.72
Sahiwal,Sahiwal-III,NA-162,Rai Aziz Ullah Khan,Pakistan Muslim League(QA),73918,128576,3003,131579,270096,48.72
Sahiwal,Sahiwal-III,NA-162,Rai Naeem Ullah Khan,Independent,1370,128576,3003,131579,270096,48.72
Sahiwal,Sahiwal-III,NA-162,Sheikh Javed Rafi,Pakistan Peoples Party Parliamentarians,44807,128576,3003,131579,270096,48.72
Sahiwal,Sahiwal-IV,NA-163,Mr Hassan Khan,Independent,773,126936,4070,131006,259416,50.5
Sahiwal,Sahiwal-IV,NA-163,Mr Saeed Ahmad Chaudhry,Pakistan Muslim League(QA),34356,126936,4070,131006,259416,50.5
Sahiwal,Sahiwal-IV,NA-163,Mr Umar Ahmad Khan,Independent,1284,126936,4070,131006,259416,50.5
Sahiwal,Sahiwal-IV,NA-163,Sardar Farooq Ahmad Khan Laghari,National Alliance,39312,126936,4070,131006,259416,50.5
Sahiwal,Sahiwal-IV,NA-163,Major ® Muhammad Ghulam Sarwar,Independent,15715,126936,4070,131006,259416,50.5
Pakpattan,Pakpattan-I,NA-164,Pir Muhammad Shah Khaggah,Pakistan Muslim League(QA),65494,117701,4670,122371,230030,53.2
Pakpattan,Pakpattan-I,NA-164,Rao Muhammad Hashim Khan,Pakistan Peoples Party Parliamentarians,46175,117701,4670,122371,230030,53.2
Pakpattan,Pakpattan-I,NA-164,Mr Nadeem Iqbal,Independent,506,117701,4670,122371,230030,53.2
Pakpattan,Pakpattan-II,NA-165,Ch Bashir Ahmed Advocate,Muttahidda Majlis-e-Amal Pakistan,1081,115935,4342,120277,244602,49.17
Pakpattan,Pakpattan-II,NA-165,Mr Khan Abdul Zahir Khan Advocate,Independent,442,115935,4342,120277,244602,49.17
Pakpattan,Pakpattan-II,NA-165,Mr Mahmood Ahmed Khan,Pakistan Muslim League(N),29903,115935,4342,120277,244602,49.17
Pakpattan,Pakpattan-II,NA-165,Mr Nasim Mahmood Hotiana,Pakistan Peoples Party Parliamentarians,19715,115935,4342,120277,244602,49.17
Pakpattan,Pakpattan-II,NA-165,Mr Nasim Hashim Khan,Independent,26272,115935,4342,120277,244602,49.17
Pakpattan,Pakpattan-III,NA-166,Dr Junaid Mumtaz Joiya,Pakistan Muslim League(QA),58699,121210,3259,124469,249043,49.98
Pakpattan,Pakpattan-III,NA-166,Rana Zahid Hussain Khan,Pakistan Muslim League(N),56712,121210,3259,124469,249043,49.98
Pakpattan,Pakpattan-III,NA-166,Mr Aish Muhammad Khan Sara Advocate,Pakistan Tehreek-e-Insaf,482,121210,3259,124469,249043,49.98
Pakpattan,Pakpattan-III,NA-166,Mian Maqsood Ahmed,Independent,241,121210,3259,124469,249043,49.98
Vehari,Vehari-I,NA-167,Ch Nazir Ahmad Jat,Pakistan Muslim League(QA),76217,139552,4293,143845,305556,47.08
Vehari,Vehari-I,NA-167,Haji Irshad Ahmad Dogar ,Muttahidda Majlis-e-Amal Pakistan,1716,139552,4293,143845,305556,47.08
Vehari,Vehari-I,NA-167,Mr Tahir Salim Chaudhry,Independent,7053,139552,4293,143845,305556,47.08
Vehari,Vehari-I,NA-167,Mr Mehmood Akhtar Ghomman,Pakistan Peoples Party Parliamentarians,54142,139552,4293,143845,305556,47.08
Vehari,Vehari-II,NA-168,Mr Tehmina Daultana,Pakistan Muslim League(N),31382,141072,3773,144845,277169,52.26
Vehari,Vehari-II,NA-168,Shahida Daultana,Pakistan Peoples Party Parliamentarians,47841,141072,3773,144845,277169,52.26
Vehari,Vehari-III,NA-169,Mr Jamshad Ali Chisti,Independent,381,140794,3141,143935,268924,53.52
Vehari,Vehari-III,NA-169,Mr Khan Aftab Ahmed Khan Khichi,Pakistan Muslim League(QA),61536,140794,3141,143935,268924,53.52
Vehari,Vehari-III,NA-169,Lt Col ® Rafaqat Ali Rana,Independent,18679,140794,3141,143935,268924,53.52
Vehari,Vehari-III,NA-169,Mr Muhammad Kashif Mushtaq Bhabha,Pakistan Peoples Party Parliamentarians,2585,140794,3141,143935,268924,53.52
Vehari,Vehari-IV,NA-170,Mr Azhar Ahmad Khan Yousaf Zai,Pakistan Peoples Party Parliamentarians,73014,140985,4152,145137,282646,51.35
Vehari,Vehari-IV,NA-170,Ch Muhammad Yasin Kamboh,Independent,1224,140985,4152,145137,282646,51.35
Vehari,Vehari-IV,NA-170,Sardar Noor Ahmed Khan Malezai,Pakistan Muslim League(N),3702,140985,4152,145137,282646,51.35
Vehari,Vehari-IV,NA-170,Mr Faisal Masood Mehar,Independent,184,140985,4152,145137,282646,51.35
Vehari,Vehari-IV,NA-170,Mr Muhammad Aurangzaib Khan Khichi,Pakistan Muslim League(QA),59967,140985,4152,145137,282646,51.35
Vehari,Vehari-IV,NA-170,Mr Nauman Gul Khan Yousaf Zai,Independent,514,140985,4152,145137,282646,51.35
Dera Ghazi Khan,Dera Ghazi Khan-I,NA-171,Khawaja Jamal-ud-Din Asghar,Pakistan Peoples Party Parliamentarians,4362,137790,3973,141763,314919,45.02
Dera Ghazi Khan,Dera Ghazi Khan-I,NA-171,Khawaja Sheraz Mahmood,Pakistan Muslim League(QA),82310,137790,3973,141763,314919,45.02
Dera Ghazi Khan,Dera Ghazi Khan-I,NA-171,Sardar Muhammad Amjad Farooq Khosa,Pakistan Muslim League(N),49302,137790,3973,141763,314919,45.02
Dera Ghazi Khan,Dera Ghazi Khan-I,NA-171,Sardar Marghoob Khetran,Independent,425,137790,3973,141763,314919,45.02
Dera Ghazi Khan,Dera Ghazi Khan-I,NA-171,Mr Mushtaq Ahmad Mundrani,Independent,189,137790,3973,141763,314919,45.02
Dera Ghazi Khan,Dera Ghazi Khan-I,NA-171,Major ® Dr Muhammad Ashraf Buzdar,Muttahidda Majlis-e-Amal Pakistan,752,137790,3973,141763,314919,45.02
Dera Ghazi Khan,Dera Ghazi Khan-II,NA-172,Mr Rasheed Ahmad Khan,Muttahidda Majlis-e-Amal Pakistan,7099,109715,2130,111845,305066,36.66
Dera Ghazi Khan,Dera Ghazi Khan-II,NA-172,Sardar Muhammad Khan Leghari,Independent,39423,109715,2130,111845,305066,36.66
Dera Ghazi Khan,Dera Ghazi Khan-II,NA-172,Sardar Farooq Ahmad Khan Leghari,National Alliance,56343,109715,2130,111845,305066,36.66
Dera Ghazi Khan,Dera Ghazi Khan-III,NA-173,Dr Saleem Arif,Independent,643,110619,2586,113205,282633,40.05
Dera Ghazi Khan,Dera Ghazi Khan-III,NA-173,Sardar Hussain Ahmad Khan Leghari,Independent,45355,110619,2586,113205,282633,40.05
Dera Ghazi Khan,Dera Ghazi Khan-III,NA-173,Sardar Abbas Ali Khan Lund,Independent,519,110619,2586,113205,282633,40.05
Dera Ghazi Khan,Dera Ghazi Khan-III,NA-173,Sardar Muhammad Irfan Ullah Khan Khosa,Pakistan Peoples Party Parliamentarians,4515,110619,2586,113205,282633,40.05
Dera Ghazi Khan,Dera Ghazi Khan-III,NA-173,Mr Sahibzada Moulana Muhammad Abdul Rahim,Muttahidda Majlis-e-Amal Pakistan,3666,110619,2586,113205,282633,40.05
Rajanpur,Rajanpur-I,NA-174,Mr Zafarullah Khan Lund Advocate,Pakistan Peoples Party Parliamentarians,13460,117027,3609,120636,305453,39.49
Rajanpur,Rajanpur-I,NA-174,Mr Gorish Sardar Gurchani,Pakistan Muslim League(N),32920,117027,3609,120636,305453,39.49
Rajanpur,Rajanpur-I,NA-174,Mr Muhammad Rafi Pachar Advocate,Muttahidda Majlis-e-Amal Pakistan,10864,117027,3609,120636,305453,39.49
Rajanpur,Rajanpur-II,NA-175,Sardar Nasrullah Khan Dreshak,Independent,69030,116506,3504,120010,292109,41.08
Rajanpur,Rajanpur-II,NA-175,Mr Sarwar Abbas,Pakistan Peoples Party Parliamentarians,8604,116506,3504,120010,292109,41.08
Rajanpur,Rajanpur-II,NA-175,Mr Sikandar Mehmood Mazari,Independent,271,116506,3504,120010,292109,41.08
Rajanpur,Rajanpur-II,NA-175,Sheikh Wali Muhammad Sajid,Pakistan Muslim League(N),474,116506,3504,120010,292109,41.08
Muzaffargarh,Muzaffargarh-I,NA-176,Dr Ghulam Qadir,Muttahidda Majlis-e-Amal Pakistan,11557,130270,4202,134472,259766,51.77
Muzaffargarh,Muzaffargarh-I,NA-176,Mr Tahir Sultan Mailadi Khar,Independent,268,130270,4202,134472,259766,51.77
Muzaffargarh,Muzaffargarh-I,NA-176,Mrs Khalida Mohsin Ali Qurishi,Pakistan Peoples Party Parliamentarians,58947,130270,4202,134472,259766,51.77
Muzaffargarh,Muzaffargarh-I,NA-176,Malik Ahmad Yar Hanjra,Independent,2823,130270,4202,134472,259766,51.77
Muzaffargarh,Muzaffargarh-I,NA-176,Malik Ghulam Qasim Hanjra,Pakistan Muslim League(QA),55612,130270,4202,134472,259766,51.77
Muzaffargarh,Muzaffargarh-I,NA-176,Mr Niaz Ahmad Buzdar,Pakistan Muslim League(J),418,130270,4202,134472,259766,51.77
Muzaffargarh,Muzaffargarh-II,NA-177,Hina Rubbani Khar,Pakistan Muslim League(QA),46752,136328,4766,141094,255321,55.26
Muzaffargarh,Muzaffargarh-II,NA-177,Mr Khalid Ahmad Gurmani,Independent,46409,136328,4766,141094,255321,55.26
Muzaffargarh,Muzaffargarh-II,NA-177,Rana Muhammad Naseem Akhtar Advocate,Pakistan Peoples Party Parliamentarians,20773,136328,4766,141094,255321,55.26
Muzaffargarh,Muzaffargarh-II,NA-177,Malik Zahoor Hussain Haans,Independent,1345,136328,4766,141094,255321,55.26
Muzaffargarh,Muzaffargarh-II,NA-177,Malik Muhammad Basit Khar,Pakistan Muslim League(N),4473,136328,4766,141094,255321,55.26
Muzaffargarh,Muzaffargarh-II,NA-177,Malik Muhammad Shahnawaz Khar,Independent,13046,136328,4766,141094,255321,55.26
Muzaffargarh,Muzaffargarh-III,NA-178,Engineer Muhammad Shahid Jamil Qureshi,Pakistan Muslim League(QA),60386,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Hinna Javaid Gondal,Independent,1429,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Mr Sultan Ahmad Khan,Pakistan Democratic party,56728,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Sheikh Habibur Rehman Thaheem Advocate,Pakistan Awami Tehreek,457,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Mr Gul Zaman,Independent,605,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Mirza Imtiaz Aleem Baig Chughtai,Pakistan Tehreek-e-Insaf,549,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Malik Abdul Majeed Karwani Advocate,Muttahida Qaumi Moement,230,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Malik Ghulam Mustafa Khar Advocate,Independent,555,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-III,NA-178,Mr Mehar Tanveer Ahmad Jangla,Muttahidda Majlis-e-Amal Pakistan,2339,123451,3856,127307,273899,46.48
Muzaffargarh,Muzaffargarh-IV,NA-179,Syed Basit Ahmad Sultan Bokhari,Pakistan Muslim League(QA),63778,139859,3011,142870,259395,55.08
Muzaffargarh,Muzaffargarh-IV,NA-179,Mr Abdul Qayyum Khan Jatoi,Pakistan Peoples Party Parliamentarians,38589,139859,3011,142870,259395,55.08
Muzaffargarh,Muzaffargarh-IV,NA-179,Makhdoom Jamil Ahmad Hussain Bokhari,Pakistan Muslim League(N),9942,139859,3011,142870,259395,55.08
Muzaffargarh,Muzaffargarh-IV,NA-179,Mian Muhammad Shoaib Ashiq Daha,Pakistan Awami Tehreek,323,139859,3011,142870,259395,55.08
Muzaffargarh,Muzaffargarh-V,NA-180,Mr Abdul Qayyum Khan Jatoi,Pakistan Peoples Party Parliamentarians,69653,136270,2698,138968,257432,53.98
Muzaffargarh,Muzaffargarh-V,NA-180,Mr Muhammad Shafi Khan,Muttahidda Majlis-e-Amal Pakistan,746,136270,2698,138968,257432,53.98
Layyah,Layyah-I,NA-181,Sardar Bahadur Ahmad Khan Sehar,Pakistan Muslim League(QA),86247,153254,5653,158907,275563,57.67
Layyah,Layyah-I,NA-181,Syed Mousa Raza Shah Naqvi,Pakistan Peoples Party Parliamentarians,6154,153254,5653,158907,275563,57.67
Layyah,Layyah-I,NA-181,Mr Sahibzada Faiz-ul-Hassan,Pakistan Muslim League(N),56490,153254,5653,158907,275563,57.67
Layyah,Layyah-II,NA-182,Syed Muhammad Saqlain Bukhari,Pakistan Muslim League(N),32247,174062,4343,178405,303784,58.73
Layyah,Layyah-II,NA-182,Mr Abdul Razzaq Rahi,Independent,7912,174062,4343,178405,303784,58.73
Layyah,Layyah-II,NA-182,Malik Ghulam Haider Thind,Pakistan Muslim League(QA),58087,174062,4343,178405,303784,58.73
Layyah,Layyah-II,NA-182,Malik Niaz Ahmad Jakhar,Pakistan Peoples Party Parliamentarians,74932,174062,4343,178405,303784,58.73
Bahawalpur,Bahawalpur-I,NA-183,Syed Sohail Hassan Gillani,Independent,30482,110671,3545,114216,271891,42.01
Bahawalpur,Bahawalpur-I,NA-183,Makhdoom Zada Syed Ali Hassan Gillani,Pakistan Muslim League(QA),51435,110671,3545,114216,271891,42.01
Bahawalpur,Bahawalpur-I,NA-183,Malik Muhammad Ramzan Advocate,Pakistan Muslim League(N),2568,110671,3545,114216,271891,42.01
Bahawalpur,Bahawalpur-I,NA-183,Moulana Manzoor Ahmad Naumani,Muttahidda Majlis-e-Amal Pakistan,25198,110671,3545,114216,271891,42.01
Bahawalpur,Bahawalpur-II,NA-184,Malik Khalid Mehmood Warron,Independent,457,114818,2029,116847,277578,42.1
Bahawalpur,Bahawalpur-II,NA-184,Mr Muhammad Safdar Abbasi,Pakistan Muslim League(QA),43874,114818,2029,116847,277578,42.1
Bahawalpur,Bahawalpur-II,NA-184,Mr Muhammad Usman Farooq,Independent,585,114818,2029,116847,277578,42.1
Bahawalpur,Bahawalpur-III,NA-185,Syed Tabish Alwari,Pakistan Muslim League(QA),14396,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Mr Sahibzada Munawar Hayat Abbasi,Pakistan Awami Tehreek,4669,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Mr Faaiz Rahim Khan,Pakistan Muslim League(Z),208,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Mr Gull-e-Raana,Pakistan Muslim League(N),13515,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Mr Muhammad Hussain Khan,Pakistan Peoples Party Parliamentarians,23184,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Mr Muhammad Usman Farooq,Independent,634,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Mr Muhammad Farooq Azam Malik,National Alliance,30361,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-III,NA-185,Moulana Haq Nawaz Qamar,Muttahidda Majlis-e-Amal Pakistan,12148,100602,2683,103285,274790,37.59
Bahawalpur,Bahawalpur-IV,NA-186,Syed Tasneem Nawaz Gardezi,Pakistan Muslim League(QA),56729,138255,3245,141500,287829,49.16
Bahawalpur,Bahawalpur-IV,NA-186,Syed Ghulam Abbas Shah,Independent,244,138255,3245,141500,287829,49.16
Bahawalpur,Bahawalpur-IV,NA-186,Syed Mubashar Zaman Shah,Pakistan Peoples Party Parliamentarians,8659,138255,3245,141500,287829,49.16
Bahawalpur,Bahawalpur-IV,NA-186,Allama Maulana Abdul Ghani,Independent,183,138255,3245,141500,287829,49.16
Bahawalpur,Bahawalpur-IV,NA-186,Mr Muhammad Baligh Ur Rehman,Pakistan Muslim League(N),11812,138255,3245,141500,287829,49.16
Bahawalpur,Bahawalpur-IV,NA-186,Mr Riaz Hussain Peerzada,National Alliance,60456,138255,3245,141500,287829,49.16
Bahawalpur,Bahawalpur-V,NA-187,Mr Aitazaz Ahsan,Pakistan Peoples Party Parliamentarians,73660,131164,2432,133596,264580,50.5
Bahawalpur,Bahawalpur-V,NA-187,Chaudhry Khalid Mehmood Jajja,Pakistan Muslim League(N),37775,131164,2432,133596,264580,50.5
Bahawalpur,Bahawalpur-V,NA-187,Mr Shahzad Irfan Malik,National Alliance,1509,131164,2432,133596,264580,50.5
Bahawalpur,Bahawalpur-V,NA-187,Mr Muhammad Ijaz Ul Haq,Pakistan Muslim League(Z),308,131164,2432,133596,264580,50.5
Bahawalnagar,Bahawalnagar-I,NA-188,Syed Muhammad Asgher Shah,Pakistan Muslim League(QA),77362,126177,4383,130560,289582,45.09
Bahawalnagar,Bahawalnagar-I,NA-188,Maulana Moenu ud DIn Wattoo,Muttahidda Majlis-e-Amal Pakistan,19062,126177,4383,130560,289582,45.09
Bahawalnagar,Bahawalnagar-I,NA-188,Mian Muhammad Akram Wattoo,Pakistan Peoples Party Parliamentarians,21733,126177,4383,130560,289582,45.09
Bahawalnagar,Bahawalnagar-II,NA-189,Syed Mumtaz Alam Gillani,Pakistan Muslim League(QA),25564,122412,3683,126095,271965,46.36
Bahawalnagar,Bahawalnagar-II,NA-189,Mr Alam Ali Laleka,Muttahidda Majlis-e-Amal Pakistan,26247,122412,3683,126095,271965,46.36
Bahawalnagar,Bahawalnagar-II,NA-189,Mr Muhammed Ali Laleka,Independent,986,122412,3683,126095,271965,46.36
Bahawalnagar,Bahawalnagar-II,NA-189,Mian Mumtaz Ahmed Matiana,Pakistan Peoples Party Parliamentarians,59082,122412,3683,126095,271965,46.36
